#OTU ID	GW1941	GW1942	GW1944	GW1945	GW1946	GW1947	GW1948	GW1952	GW1953	GW1954	GW1955	GW1957	GW1958	GW1959	GW1964	GW1967	GW1968	GW1969	GW1973	GW1979	GW1982
OTU_1074	35	42	23	30	18	26	67	0	0	0	0	0	0	0	0	0	2	0	0	0	46
OTU_1075	0	1	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0
OTU_1076	2	0	2	0	0	3	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_1077	1	3	1	1	0	2	1	0	1	0	0	0	0	0	1	0	3	1	1	0	0
OTU_1078	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1079	1	1	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0
OTU_108	0	0	0	2	0	0	0	0	0	0	0	0	0	0	21	45	61	22	4	29	0
OTU_1080	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0
OTU_1081	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0
OTU_1082	0	1	0	0	0	2	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0
OTU_1083	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1084	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1085	0	1	0	0	0	2	0	0	0	0	0	0	0	0	8	1	3	4	0	2	0
OTU_1086	0	1	3	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_1087	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1088	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1089	0	4	3	0	0	0	7	1	0	1	0	0	0	1	4	2	11	9	9	2	0
OTU_109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	28	1	2	5	41	0
OTU_1090	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU_1091	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_1092	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1093	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	3	0	0	0	0
OTU_1094	2	1	2	1	0	0	3	1	0	0	0	0	0	0	7	1	2	0	1	4	0
OTU_1095	2	4	2	1	1	1	2	0	1	0	0	0	0	0	4	5	0	2	0	4	0
OTU_1096	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1097	1	0	0	0	0	1	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0
OTU_1098	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1099	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU_11	0	1	0	0	0	0	0	1892	1380	482	768	1249	795	685	4	0	0	0	0	1	0
OTU_110	7	28	4	3	0	6	14	3	0	1	0	1	0	0	30	23	11	9	14	7	1
OTU_1100	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1101	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1102	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1103	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1104	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1105	0	2	0	0	0	1	3	0	0	0	0	0	0	0	4	0	0	3	0	1	0
OTU_1106	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1107	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1108	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1109	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	1	4	2	1
OTU_1110	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1111	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU_1112	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0
OTU_1113	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1114	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
