dataset;X.OTU.ID;GW1941;GW1942;GW1943;GW1944;GW1945;GW1946;GW1947;GW1948;GW1949;GW1950;GW1951;GW1952;GW1953;GW1954;GW1955;GW1956;GW1957;GW1958;GW1959;GW1960;GW1961;GW1962;GW1963;GW1964;GW1965;GW1966;GW1967;GW1968;GW1969;GW1970;GW1971;GW1972;GW1973;GW1974;GW1975;GW1976;GW1977;GW1978;GW1979;GW1980;GW1981;GW1982;GW1983;GW1984
16s;OTU_171;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;18;26;7;5;32;9;11;14;1;3;6;9;4;3;3;10;38;3;2;0;0;0
16s;OTU_172;1;6;0;2;1;0;2;10;3;3;2;0;0;0;0;0;0;0;0;6;0;0;0;60;4;3;41;47;42;6;3;6;23;4;1;5;1;7;14;0;0;0;2;0
16s;OTU_173;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;1;0;0
16s;OTU_174;0;7;0;2;2;0;0;1;9;2;2;0;0;2;0;0;0;0;0;0;0;0;4;0;4;12;0;1;2;1;4;2;0;1;3;1;1;0;0;0;13;0;1;0
16s;OTU_175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13;0;2;32;35;1;0;0;0;0;1;0;2;1;1;2;0;0;0;0;0
16s;OTU_176;5;0;0;0;0;0;1;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
16s;OTU_177;6;26;0;4;1;1;10;17;2;11;0;0;0;0;0;0;0;0;0;0;1;1;2;101;2;2;41;53;18;6;0;1;34;2;0;1;1;1;76;8;0;1;0;0
16s;OTU_178;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;3;4;2;12;1;1;0;2;2;3;0;0;0;1;0;0;0
16s;OTU_179;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;5;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0
16s;OTU_180;0;0;0;2;0;0;1;2;12;3;1;0;0;0;0;0;0;0;0;1;0;0;2;49;3;3;5;7;17;6;0;1;26;2;2;10;4;13;5;0;1;0;1;0
16s;OTU_181;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;56;0;0;0;0;0
16s;OTU_182;6;4;0;3;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;2;1;4;2;21;15;40;2;3;5;10;8;2;5;0;6;3;25;10;0;0;0
16s;OTU_183;3;26;3;3;0;34;4;2;2;0;2;3;2;0;2;0;2;5;0;1;4;2;0;1;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;1;0;24;16;1
16s;OTU_184;1;5;0;0;1;0;0;2;14;14;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;4;1;1;2;4;0;4;5;0;2;4;1;7;0;6;1;6;0
16s;OTU_185;0;0;0;0;0;0;0;0;7;14;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
16s;OTU_186;1;1;0;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
