sequence_identifier;Domain;Phylum;Class;Order;Family;Genus;Species
OTU_1063;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Aureibacter;
OTU_1064;Bacteria;Planctomycetota;OM190;;;;
OTU_1065;Unclassified;;;;;;
OTU_1066;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;
OTU_1067;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Terasakiellaceae;uncultured;
OTU_1068;Unclassified;;;;;;
OTU_1069;Bacteria;Chloroflexi;Anaerolineae;SBR1031;A4b;;
OTU_1070;Bacteria;Proteobacteria;Gammaproteobacteria;UBA10353 marine group;;;
OTU_1071;Bacteria;Planctomycetota;Pla4 lineage;;;;
OTU_1072;Bacteria;Myxococcota;Polyangia;Polyangiales;Eel-36e1D6;;
OTU_1073;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;;
OTU_1074;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;
OTU_1075;Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;;;
OTU_1076;Bacteria;Verrucomicrobiota;Kiritimatiellae;Kiritimatiellales;Kiritimatiellaceae;R76-B128;
OTU_1077;Bacteria;Acidobacteriota;Subgroup 21;;;;
OTU_1078;Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;;
OTU_1079;Unclassified;;;;;;
OTU_1080;Bacteria;Nitrospinota;Nitrospinia;Nitrospinales;Nitrospinaceae;;
OTU_1081;Bacteria;Cyanobacteria;Cyanobacteriia;Phormidesmiales;Nodosilineaceae;MBIC10086;
OTU_1082;Unclassified;;;;;;
OTU_1083;Bacteria;Planctomycetota;OM190;;;;
OTU_1084;Bacteria;Planctomycetota;BD7-11;;;;
OTU_1085;Unclassified;;;;;;
OTU_1086;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;Pelagibius;
OTU_1087;Unclassified;;;;;;
OTU_1088;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;
OTU_1089;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Fabibacter;
OTU_1090;Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;;
OTU_1091;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;Portibacter;
OTU_1092;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;;;
