sequence_identifier;Domain;Phylum;Class;Order;Family;Genus
OTU_1286;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;Rubritalea
OTU_1287;Unclassified;;;;;
OTU_1288;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;
OTU_1289;Unclassified;;;;;
OTU_1290;Unclassified;;;;;
OTU_1291;Unclassified;;;;;
OTU_1292;Unclassified;;;;;
OTU_1293;Bacteria;Dadabacteria;Dadabacteriia;Dadabacteriales;;
OTU_1294;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Kangiellaceae;uncultured
OTU_1295;Unclassified;;;;;
OTU_1296;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Marinoscillum
OTU_1297;Bacteria;Proteobacteria;Gammaproteobacteria;;;
OTU_1298;Bacteria;Proteobacteria;Gammaproteobacteria;Milano-WF1B-44;;
OTU_1299;Unclassified;;;;;
OTU_1300;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;
OTU_1301;Unclassified;;;;;
OTU_1302;Unclassified;;;;;
OTU_1303;Unclassified;;;;;
OTU_1304;Bacteria;Proteobacteria;Gammaproteobacteria;Arenicellales;Arenicellaceae;
OTU_1305;Bacteria;Proteobacteria;Gammaproteobacteria;Beggiatoales;Beggiatoaceae;
OTU_1306;Unclassified;;;;;
OTU_1307;Unclassified;;;;;
OTU_1308;Unclassified;;;;;
OTU_1309;Bacteria;Proteobacteria;Alphaproteobacteria;uncultured;;
OTU_1310;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;uncultured
OTU_1311;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;
OTU_1312;Unclassified;;;;;
OTU_1313;Bacteria;Latescibacterota;;;;
OTU_1314;Unclassified;;;;;
OTU_1315;Unclassified;;;;;
OTU_1316;Bacteria;NB1-j;;;;
OTU_1317;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Aquibacter
OTU_1318;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula
OTU_1319;Bacteria;Latescibacterota;;;;
OTU_1320;Bacteria;Proteobacteria;Alphaproteobacteria;Defluviicoccales;uncultured;
OTU_1321;Unclassified;;;;;
OTU_1322;Bacteria;Planctomycetota;OM190;;;
OTU_1323;Unclassified;;;;;
OTU_1324;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula
OTU_1325;Bacteria;Desulfobacterota;Desulfuromonadia;Bradymonadales;;
OTU_1326;Unclassified;;;;;
OTU_1327;Unclassified;;;;;
OTU_1328;Unclassified;;;;;
OTU_1329;Bacteria;Acidobacteriota;Subgroup 22;;;
OTU_1330;Unclassified;;;;;
OTU_1331;Unclassified;;;;;
OTU_1332;Unclassified;;;;;
OTU_1333;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula
OTU_1334;Bacteria;Planctomycetota;Pla3 lineage;;;
OTU_1335;Bacteria;Deinococcota;Deinococci;Deinococcales;Deinococcaceae;Deinococcus
OTU_1336;Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides
OTU_1337;Unclassified;;;;;
OTU_1338;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pir4 lineage
OTU_1339;Unclassified;;;;;
OTU_1340;Bacteria;Verrucomicrobiota;Kiritimatiellae;WCHB1-41;;
OTU_1341;Unclassified;;;;;
OTU_1342;Unclassified;;;;;
OTU_1343;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured
OTU_1344;Unclassified;;;;;
OTU_1345;Unclassified;;;;;
OTU_1346;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Cloacibacterium
OTU_1347;Unclassified;;;;;
OTU_1348;Unclassified;;;;;
OTU_1349;Unclassified;;;;;
OTU_1350;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10
OTU_1351;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;DEV007;
OTU_1352;Unclassified;;;;;
OTU_1353;Bacteria;Myxococcota;Polyangia;Polyangiales;Sandaracinaceae;Sandaracinus
OTU_1354;Unclassified;;;;;
OTU_1355;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;;
OTU_1356;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;
OTU_1357;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Puniceicoccaceae;Verruc-01
OTU_1358;Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;uncultured
OTU_1359;Unclassified;;;;;
OTU_1360;Bacteria;Bdellovibrionota;Bdellovibrionia;Bacteriovoracales;Bacteriovoracaceae;Peredibacter
OTU_1361;Unclassified;;;;;
OTU_1362;Unclassified;;;;;
OTU_1363;Bacteria;Planctomycetota;OM190;;;
OTU_1364;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;
OTU_1365;Bacteria;Myxococcota;Polyangia;Polyangiales;Sandaracinaceae;
OTU_1366;Unclassified;;;;;
OTU_1367;Bacteria;Proteobacteria;Gammaproteobacteria;;;
OTU_1368;Unclassified;;;;;
OTU_1369;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula
OTU_1370;Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;
OTU_1371;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;
OTU_1372;Unclassified;;;;;
OTU_1373;Bacteria;Planctomycetota;OM190;;;
OTU_1374;Bacteria;Proteobacteria;Gammaproteobacteria;;;
OTU_1375;Unclassified;;;;;
OTU_1376;Bacteria;Acidobacteriota;Acidobacteriae;PAUC26f;;
OTU_1377;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Puniceicoccaceae;Cerasicoccus
OTU_1378;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolineaceae UCG-001
OTU_1379;Bacteria;Proteobacteria;Alphaproteobacteria;Puniceispirillales;uncultured;
OTU_1380;Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;NS11-12 marine group;
